127.0.0.1 - - [18/May/2026 22:19:23] "POST /editar-usuario HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /dados-usuario HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /perfil HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /ranking HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /dados-usuario HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /dados-usuario HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:21:56] "POST /dados-usuario HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:49] "POST /ranking HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:49] "POST /listar-reciclagens HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:52] "POST /ranking HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:52] "POST /listar-reciclagens HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:53] "POST /ranking HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:53] "POST /listar-reciclagens HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:53] "POST /ranking HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:53] "POST /listar-reciclagens HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:57] "POST /ranking HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 22:23:57] "POST /listar-reciclagens HTTP/1.1" 200 -
